,deeplift,gradients,integrated_gradients,guided_gradcam,guided_backprop,inputxgradient,lime
logits,0.0,0.0,0.0,0.0,0.0,0.0,0.8835335874557495
mixed_7c,0.9999992288691834,0.9999990033937718,0.9999990033937718,0.9512883569319376,0.9999990902861368,0.9999990403298096,0.9999880676377896
mixed_7b,0.9999989965286774,0.9999986562490958,0.9999986562490958,0.9168587680506384,0.9999989178546724,0.999998925679982,0.9999773431405504
mixed_7a,0.9999999835405652,0.999999977135368,0.999999977135368,0.9446084125648572,0.9999999851462712,0.9999999819480162,0.99998950109975
mixed_6e,0.99999999952838,0.9999999992882868,0.9999999992882868,0.5937993579848,0.9999999994960532,0.9999999994806292,0.7471424412479003
mixed_6d,0.9999999990584691,0.9999999986512972,0.9999999986512972,0.8623371676509246,0.9999999989413408,0.9999999989471304,0.7403159929563602
mixed_6c,0.9999999992779196,0.9999999988053226,0.9999999988053226,0.8961483375005129,0.9999999991497828,0.9999999990852536,0.7389431721965471
mixed_6b,0.9999999967458524,0.9999999923374164,0.9999999923374164,0.7983999930637558,0.999999995823899,0.9999999953807728,0.8903647385823357
mixed_6a,0.998599754350677,0.9967752847122404,0.9967752847122404,0.8091949143938258,0.9989278403696638,0.996977283076206,0.9999274237136828
mixed_5d,0.998283172973867,0.9955503737278836,0.9955503737278836,0.8117417489227324,0.9985631801875448,0.9957870104699093,0.999975887212482
mixed_5c,0.9983402092739562,0.9969217630861744,0.9969217630861744,0.6884786159591318,0.999324609039686,0.997916764140576,0.999973811042094
mixed_5b,0.9862163826234972,0.9689061517006216,0.9689061517006216,0.6075462493589647,0.9926947332415996,0.9816086739005307,0.9999320181236604
conv2d_4a,0.158227174480756,0.1423743798640085,0.1423743798640085,0.1006219255924224,0.1864919963479042,0.1376330226659774,0.9890044008404948
conv2d_3b,0.1728713637590408,0.1469913016658708,0.1469913016658708,0.1033263367414474,0.1998768451313177,0.148757041990757,0.9955313259355414
conv2d_2b,0.1572239844004312,0.1393976560870049,0.1393976560870049,0.1008908327420552,0.1831170423825582,0.1352452729145685,0.9842088249434406
conv2d_2a,0.1423232666651408,0.1373168697930742,0.1373168697930742,0.1004228945573171,0.1690123744805653,0.1245870916048685,0.940184684159855
conv2d_1a,0.1511959687868753,0.1637360277297137,0.1637360277297137,0.1004383546113968,0.1676756207148234,0.1235188521941502,0.9929220045761517
